,中华人民共和国,0,,1645349604927082496,0,0,,1,7270
130110000000,鹿泉区,3,,1645349631451860997,0,0,1645349629610561536,90,91
130111000000,栾城区,3,,1645349631456055296,0,0,1645349629610561536,92,93
130121000000,井陉县,3,,1645349631456055297,0,0,1645349629610561536,94,95
130123000000,正定县,3,,1645349631456055298,0,0,1645349629610561536,96,97
130125000000,行唐县,3,,1645349631460249600,0,0,1645349629610561536,98,99
130126000000,灵寿县,3,,1645349631460249601,0,0,1645349629610561536,100,101
130127000000,高邑县,3,,1645349631460249602,0,0,1645349629610561536,102,103
130128000000,深泽县,3,,1645349631464443904,0,0,1645349629610561536,104,105
130129000000,赞皇县,3,,1645349631464443905,0,0,1645349629610561536,106,107
130130000000,无极县,3,,1645349631464443906,0,0,1645349629610561536,108,109
130131000000,平山县,3,,1645349631464443907,0,0,1645349629610561536,110,111
130132000000,元氏县,3,,1645349631468638208,0,0,1645349629610561536,112,113
130133000000,赵县,3,,1645349631468638209,0,0,1645349629610561536,114,115
130171000000,石家庄高新技术产业开发区,3,,1645349631468638210,0,0,1645349629610561536,116,117
130172000000,石家庄循环化工园区,3,,1645349631468638211,0,0,1645349629610561536,118,119
130181000000,辛集市,3,,1645349631468638212,0,0,1645349629610561536,120,121
130183000000,晋州市,3,,1645349631468638213,0,0,1645349629610561536,122,123
130184000000,新乐市,3,,1645349631472832512,0,0,1645349629610561536,124,125
140100000000,太原市,2,,1645349634203324416,0,0,1645349607468830720,501,526
140200000000,大同市,2,,1645349634203324417,0,0,1645349607468830720,527,552
140300000000,阳泉市,2,,1645349634207518720,0,0,1645349607468830720,553,566
140400000000,长治市,2,,1645349634207518721,0,0,1645349607468830720,567,596
140500000000,晋城市,2,,1645349634207518722,0,0,1645349607468830720,597,612
140600000000,朔州市,2,,1645349634207518723,0,0,1645349607468830720,613,630
140700000000,晋中市,2,,1645349634207518724,0,0,1645349607468830720,631,656
140800000000,运城市,2,,1645349634207518725,0,0,1645349607468830720,657,686
140900000000,忻州市,2,,1645349634211713024,0,0,1645349607468830720,687,720
141000000000,临汾市,2,,1645349634211713025,0,0,1645349607468830720,721,758
141100000000,吕梁市,2,,1645349634211713026,0,0,1645349607468830720,759,788
130201000000,市辖区,3,,1645349636019458048,0,0,1645349629610561537,128,129
130202000000,路南区,3,,1645349636023652352,0,0,1645349629610561537,130,131
130203000000,路北区,3,,1645349636023652353,0,0,1645349629610561537,132,133
130204000000,古冶区,3,,1645349636023652354,0,0,1645349629610561537,134,135
130205000000,开平区,3,,1645349636023652355,0,0,1645349629610561537,136,137
130207000000,丰南区,3,,1645349636023652356,0,0,1645349629610561537,138,139
130208000000,丰润区,3,,1645349636023652357,0,0,1645349629610561537,140,141
130209000000,曹妃甸区,3,,1645349636027846656,0,0,1645349629610561537,142,143
130224000000,滦南县,3,,1645349636027846657,0,0,1645349629610561537,144,145
130225000000,乐亭县,3,,1645349636027846658,0,0,1645349629610561537,146,147
130227000000,迁西县,3,,1645349636027846659,0,0,1645349629610561537,148,149
130229000000,玉田县,3,,1645349636027846660,0,0,1645349629610561537,150,151
130271000000,河北唐山芦台经济开发区,3,,1645349636027846661,0,0,1645349629610561537,152,153
130272000000,唐山市汉沽管理区,3,,1645349636032040960,0,0,1645349629610561537,154,155
130273000000,唐山高新技术产业开发区,3,,1645349636032040961,0,0,1645349629610561537,156,157
130274000000,河北唐山海港经济开发区,3,,1645349636032040962,0,0,1645349629610561537,158,159
130281000000,遵化市,3,,1645349636032040963,0,0,1645349629610561537,160,161
130283000000,迁安市,3,,1645349636036235264,0,0,1645349629610561537,162,163
130284000000,滦州市,3,,1645349636036235265,0,0,1645349629610561537,164,165
150100000000,呼和浩特市,2,,1645349638284382208,0,0,1645349607468830721,791,814
150200000000,包头市,2,,1645349638292770816,0,0,1645349607468830721,815,838
150300000000,乌海市,2,,1645349638292770817,0,0,1645349607468830721,839,848
150400000000,赤峰市,2,,1645349638292770818,0,0,1645349607468830721,849,876
150500000000,通辽市,2,,1645349638292770819,0,0,1645349607468830721,877,898
150600000000,鄂尔多斯市,2,,1645349638292770820,0,0,1645349607468830721,899,920
150700000000,呼伦贝尔市,2,,1645349638292770821,0,0,1645349607468830721,921,952
150800000000,巴彦淖尔市,2,,1645349638292770822,0,0,1645349607468830721,953,970
150900000000,乌兰察布市,2,,1645349638292770823,0,0,1645349607468830721,971,996
152200000000,兴安盟,2,,1645349638292770824,0,0,1645349607468830721,997,1010
152500000000,锡林郭勒盟,2,,1645349638292770825,0,0,1645349607468830721,1011,1038
152900000000,阿拉善盟,2,,1645349638292770826,0,0,1645349607468830721,1039,1048
130301000000,市辖区,3,,1645349640066961408,0,0,1645349629610561538,168,169
130302000000,海港区,3,,1645349640066961409,0,0,1645349629610561538,170,171
130303000000,山海关区,3,,1645349640066961410,0,0,1645349629610561538,172,173
130304000000,北戴河区,3,,1645349640071155712,0,0,1645349629610561538,174,175
130306000000,抚宁区,3,,1645349640071155713,0,0,1645349629610561538,176,177
130321000000,青龙满族自治县,3,,1645349640071155714,0,0,1645349629610561538,178,179
130322000000,昌黎县,3,,1645349640071155715,0,0,1645349629610561538,180,181
130324000000,卢龙县,3,,1645349640071155716,0,0,1645349629610561538,182,183
